path_id,min_slice
464,0
434,0
373,0
285,4
263,8
255,12
230,0
226,16
348,0
211,0
209,4
207,0
405,8
197,20
194,4
310,24
302,4
409,28
18,0
166,0
165,32
151,0
262,4
453,0
121,0
113,0
106,0
101,8
100,4
85,4
79,12
451,0
447,4
47,4
44,8
38,12
36,16
34,20
407,8
381,14
335,36
103,12
32,24
33,30
94,8
117,8
487,4
4,14
128,42
26,36
366,4
81,16
312,48
43,18
241,54
234,60
401,8
29,42
215,66
141,8
266,20
320,10
435,20
326,10
145,72
55,0
391,24
153,78
155,30
198,22
156,14
324,36
188,16
161,26
162,14
371,14
296,42
17,48
418,32
19,54
66,6
178,20
62,62
185,48
294,38
170,84
64,70
186,92
61,14
59,78
322,100
385,20
350,16
383,28
445,36
210,4
340,108
77,44
23,86
338,24
242,116
318,56
473,32
260,64
380,52
261,12
287,124
122,72
317,132
115,28
92,80
93,60
323,0
491,140
107,26
341,8
7,34
227,46
228,148
51,22
52,4
206,20
58,14
376,28
431,40
193,56
503,22
191,158
236,20
182,168
177,66
97,36
176,178
246,188
173,46
40,94
439,24
251,198
35,104
25,114
154,56
499,30
140,4
314,32
119,208
307,50
394,76
222,40
313,18
65,88
99,66
316,44
481,42
219,100
331,30
109,218
84,68
129,112
189,56
131,124
192,230
218,52
133,64
134,78
68,32
98,136
168,68
137,242
138,90
110,148
28,124
235,88
319,60
337,72
76,160
441,38
459,0
368,80
50,136
349,50
157,102
205,100
150,114
2,80
21,148
39,160
114,4
280,84
264,54
54,172
203,254
471,268
483,68
463,98
146,126
229,92
1,92
8,172
293,30
403,112
135,106
461,282
378,112
171,296
132,14
104,28
356,126
46,34
126,120
89,134
124,16
433,106
288,82
489,98
91,140
406,140
297,126
139,186
11,186
67,202
49,44
96,120
187,136
6,148
5,164
3,180
370,152
201,196
200,114
71,202
15,218
14,234
254,156
112,218
45,60
199,76
0,212
415,236
57,78
501,142
332,160
272,230
56,252
73,270
393,62
245,94
275,174
60,254
330,272
143,248
334,266
30,288
308,130
305,112
130,156
88,174
125,192
123,42
184,192
493,148
217,212
102,210
105,230
111,250
475,168
116,30
367,232
455,168
389,252
244,272
41,48
90,188
411,178
469,188
300,284
147,290
274,130
284,150
72,96
345,198
256,208
167,270
172,292
63,118
427,80
344,220
443,50
12,44
342,102
358,208
221,232
10,66
175,170
164,194
149,218
148,60
87,256
457,12
142,292
9,-1
395,-1
395,-1
395,-1
13,-1
16,-1
20,-1
22,-1
24,-1
27,-1
485,-1
485,-1
485,-1
485,-1
485,-1
31,-1
37,-1
429,-1
429,-1
429,-1
42,-1
48,-1
48,-1
53,-1
70,-1
465,-1
465,-1
465,-1
75,-1
80,-1
80,-1
83,-1
83,-1
86,-1
86,-1
95,-1
95,-1
120,-1
120,-1
268,-1
268,-1
276,-1
276,-1
270,-1
270,-1
158,-1
158,-1
160,-1
160,-1
163,-1
163,-1
174,-1
174,-1
298,-1
298,-1
180,-1
180,-1
183,-1
183,-1
306,-1
306,-1
195,-1
195,-1
382,-1
382,-1
382,-1
204,-1
204,-1
208,-1
208,-1
216,-1
216,-1
220,-1
220,-1
360,-1
360,-1
360,-1
259,-1
259,-1
279,-1
279,-1
412,-1
412,-1
412,-1
