path_id,min_slice
480,0
1030,0
115,0
461,0
878,0
382,0
509,0
455,0
254,0
474,0
370,4
35,0
34,0
507,4
199,4
1102,4
749,0
674,0
638,8
174,0
511,0
208,0
210,0
318,4
133,0
395,0
622,4
534,4
573,4
652,12
984,0
30,0
908,8
15,4
964,4
362,0
797,4
550,8
348,8
481,8
54,0
232,8
226,0
228,0
161,8
1153,12
60,0
972,12
96,4
936,12
916,16
73,8
900,16
93,0
404,14
158,0
221,22
889,8
410,16
418,4
53,4
106,4
107,10
110,8
111,16
27,14
1024,8
968,22
319,12
215,4
390,0
748,0
65,16
485,22
170,4
211,28
327,0
129,34
79,6
453,40
32,0
510,0
469,14
206,10
1118,12
857,8
659,14
713,20
425,46
704,20
346,26
640,28
716,32
36,4
261,38
685,0
39,12
816,26
834,32
355,18
927,20
496,4
732,44
250,12
122,10
275,52
585,24
1086,26
80,14
677,60
128,20
789,22
437,32
793,68
448,6
538,6
648,28
49,20
238,12
262,20
865,6
289,52
146,4
233,60
1094,34
422,42
149,28
22,0
413,36
483,68
278,22
403,76
1150,40
680,36
443,30
18,28
558,36
218,16
165,4
564,0
940,44
169,48
1132,56
83,30
572,34
401,76
171,52
861,84
690,44
798,38
179,84
381,10
1054,92
708,42
553,64
668,92
192,24
182,32
310,14
316,0
71,60
8,0
890,4
70,22
664,52
187,100
365,18
189,110
194,22
2,6
769,72
575,0
69,18
566,50
825,120
227,0
231,130
157,12
156,12
479,68
354,60
893,46
546,8
81,78
372,32
528,44
1084,42
431,140
82,18
785,150
467,22
84,28
127,100
1177,160
125,88
61,98
380,50
267,56
700,70
313,28
92,8
484,52
114,6
42,32
460,28
597,0
112,28
452,38
94,18
1148,82
46,4
430,48
51,110
497,170
52,38
55,0
1092,92
692,66
904,78
1046,180
613,102
56,28
270,38
276,58
364,60
882,90
188,62
296,70
868,18
302,32
102,40
141,192
1008,72
284,50
105,108
592,74
420,12
268,82
335,114
1052,10
333,16
135,22
837,102
50,6
409,120
924,62
817,14
397,84
9,54
172,62
45,120
598,80
586,92
222,86
371,126
396,38
163,132
334,104
477,138
86,52
43,144
809,156
937,204
37,10
896,24
164,44
315,150
118,98
439,168
121,182
684,132
656,146
248,94
385,74
117,30
813,216
499,196
845,160
419,96
246,6
66,38
402,14
462,88
848,110
344,110
570,44
537,162
85,64
459,176
282,108
588,116
1036,14
204,10
260,4
332,174
75,38
20,78
877,188
132,56
772,114
108,124
308,128
301,190
244,0
522,102
853,202
544,66
29,80
137,52
412,116
596,204
78,92
503,218
26,26
489,70
98,48
873,216
186,122
143,210
150,138
391,224
1159,230
101,106
1142,244
145,34
25,94
264,74
1062,124
144,84
136,62
131,238
487,100
554,130
744,130
885,40
388,146
805,142
1134,232
520,162
124,16
504,146
38,120
255,158
560,18
217,24
688,178
852,56
502,194
492,28
99,66
41,52
625,248
468,50
992,254
568,110
77,68
576,126
113,82
952,84
300,210
309,58
450,142
320,162
446,140
326,230
428,158
48,4
1076,156
3,246
178,152
912,90
932,106
324,172
345,66
493,260
347,28
306,0
126,174
473,262
856,74
100,100
299,16
196,136
773,72
580,92
1000,98
24,8
76,136
633,264
530,34
1016,188
438,178
928,122
294,154
441,140
33,280
4,0
929,206
1004,28
209,276
1012,224
312,242
290,172
512,174
258,168
660,298
240,186
944,158
1044,46
526,44
142,42
220,190
67,154
57,118
59,136
62,64
389,282
541,154
154,116
155,50
230,208
160,204
976,300
399,82
223,294
822,192
151,314
292,226
68,172
864,212
875,232
1169,334
1116,354
239,374
407,196
168,22
314,226
123,116
205,10
288,246
521,320
247,316
202,10
444,102
298,136
44,90
536,246
28,82
551,336
801,270
960,290
6,0
12,102
584,266
582,286
427,356
956,310
482,266
644,376
14,20
415,176
17,192
562,110
103,172
304,34
672,306
21,192
184,216
676,252
91,156
88,60
89,330
323,212
325,122
23,212
604,222
16,36
505,352
777,272
594,326
5,234
411,340
31,256
1060,362
711,294
465,134
841,20
966,122
774,316
72,144
134,156
138,32
139,374
0,278
147,68
148,54
63,300
398,260
336,236
58,192
64,78
844,338
342,144
216,30
328,178
214,52
829,42
1028,322
1038,62
494,344
47,366
176,286
378,166
433,258
472,84
458,348
860,110
40,214
436,372
447,188
426,108
728,360
724,244
445,282
712,134
74,100
1020,306
87,234
90,124
95,258
104,80
920,196
996,166
393,200
140,268
236,14
256,308
266,18
274,42
356,282
842,130
557,282
330,8
198,292
1124,-1
1124,-1
1124,-1
1124,-1
1124,-1
1124,-1
463,-1
463,-1
463,-1
463,-1
387,-1
387,-1
387,-1
387,-1
387,-1
387,-1
948,-1
948,-1
948,-1
948,-1
948,-1
948,-1
13,-1
13,-1
13,-1
13,-1
13,-1
13,-1
13,-1
13,-1
13,-1
435,-1
435,-1
435,-1
435,-1
435,-1
435,-1
457,-1
457,-1
457,-1
457,-1
457,-1
457,-1
97,-1
97,-1
97,-1
97,-1
97,-1
97,-1
97,-1
109,-1
109,-1
109,-1
109,-1
109,-1
109,-1
1100,-1
1100,-1
1100,-1
1100,-1
1100,-1
1100,-1
1100,-1
1100,-1
116,-1
1108,-1
1108,-1
1108,-1
1108,-1
1108,-1
1108,-1
449,-1
449,-1
449,-1
449,-1
449,-1
449,-1
449,-1
449,-1
449,-1
449,-1
449,-1
1110,-1
1110,-1
1110,-1
1110,-1
1110,-1
1110,-1
1110,-1
1110,-1
869,-1
869,-1
869,-1
869,-1
159,-1
159,-1
159,-1
159,-1
159,-1
821,-1
821,-1
821,-1
821,-1
821,-1
821,-1
821,-1
821,-1
821,-1
821,-1
821,-1
980,-1
980,-1
980,-1
980,-1
980,-1
980,-1
980,-1
980,-1
980,-1
980,-1
166,-1
1119,-1
1119,-1
1119,-1
1119,-1
1119,-1
1119,-1
1119,-1
1119,-1
175,-1
175,-1
175,-1
175,-1
175,-1
175,-1
177,-1
177,-1
177,-1
177,-1
177,-1
177,-1
1113,-1
1113,-1
1113,-1
1113,-1
1113,-1
1113,-1
1113,-1
1113,-1
197,-1
197,-1
197,-1
197,-1
197,-1
197,-1
203,-1
203,-1
203,-1
203,-1
237,-1
237,-1
237,-1
237,-1
237,-1
352,-1
245,-1
245,-1
245,-1
245,-1
245,-1
696,-1
696,-1
621,-1
621,-1
621,-1
589,-1
589,-1
589,-1
552,-1
552,-1
567,-1
567,-1
567,-1
571,-1
571,-1
571,-1
571,-1
571,-1
679,-1
679,-1
679,-1
679,-1
