,path_id,min_slice
0,0,-1
1,1,298
2,2,-1
3,3,276
4,4,-1
5,5,284
6,6,256
7,7,-1
8,8,-1
9,9,-1
10,10,206
11,11,-1
12,12,-1
13,13,272
14,14,210
15,15,-1
16,16,-1
17,17,-1
18,18,-1
19,19,192
20,20,-1
21,21,-1
22,22,-1
23,23,300
24,24,-1
25,25,-1
26,26,-1
27,27,-1
28,28,-1
29,29,-1
30,30,-1
31,31,-1
32,32,-1
33,33,-1
34,34,-1
35,35,-1
36,36,-1
37,37,-1
38,38,60
39,39,146
40,40,-1
41,41,172
42,42,52
43,43,-1
44,44,112
45,45,78
46,46,44
47,47,194
48,48,126
49,49,48
50,50,140
51,51,62
52,52,12
53,54,22
54,55,-1
55,56,0
56,58,32
57,59,-1
58,60,42
59,61,-1
60,62,54
61,63,-1
62,64,-1
63,65,112
64,66,70
65,67,-1
66,68,90
67,69,-1
68,70,6
69,71,-1
70,72,22
71,73,280
72,74,26
73,75,-1
74,76,50
75,77,-1
76,78,34
77,79,270
78,81,-1
79,83,298
80,84,-1
81,85,236
82,86,68
83,87,-1
84,88,246
85,89,214
86,90,210
87,91,210
88,92,224
89,93,250
90,100,226
91,101,-1
92,102,142
93,103,-1
94,104,240
95,105,-1
96,106,214
97,108,0
98,109,-1
99,110,-1
100,111,-1
101,112,308
102,113,-1
103,114,-1
104,115,-1
105,116,-1
106,117,174
107,118,264
108,119,-1
109,120,140
110,121,-1
111,122,-1
112,123,-1
113,124,-1
114,125,-1
115,126,-1
116,127,-1
117,128,-1
118,130,-1
119,131,-1
120,132,18
121,133,-1
122,134,30
123,135,-1
124,136,66
125,137,-1
126,138,94
127,139,-1
128,140,10
129,141,-1
130,142,4
131,143,-1
132,144,80
133,145,-1
134,146,114
135,147,-1
136,148,42
137,149,-1
138,150,0
139,151,-1
140,152,54
141,153,-1
142,154,224
143,155,-1
144,156,242
145,157,-1
146,158,214
147,159,-1
148,160,150
149,161,-1
150,162,-1
151,163,184
152,164,208
153,165,-1
154,166,22
155,167,68
156,168,88
157,169,130
158,170,30
159,171,82
160,172,40
161,173,74
162,174,108
163,175,144
164,176,54
165,177,164
166,178,128
167,179,94
168,180,148
169,181,106
170,182,70
171,183,118
172,184,-1
173,185,194
174,186,276
175,187,-1
176,188,194
177,190,286
178,191,4
179,192,166
180,194,142
181,195,0
182,196,212
183,198,154
184,200,266
185,202,180
186,204,230
187,206,248
188,208,134
189,214,-1
190,226,136
191,233,298
192,237,-1
193,239,306
194,241,46
195,245,4
196,249,-1
197,253,316
198,255,-1
199,256,-1
200,258,-1
201,260,-1
202,262,-1
203,264,-1
204,266,-1
205,268,-1
206,270,254
207,271,104
208,272,188
209,273,86
210,274,202
211,275,146
212,276,234
213,277,94
214,278,130
215,281,168
216,283,116
217,284,218
218,288,-1
219,290,282
220,292,-1
221,294,170
222,296,276
223,298,294
224,300,-1
225,302,-1
226,307,14
227,308,310
228,311,0
229,312,314
230,314,-1
231,315,30
232,317,64
233,318,0
234,319,196
235,320,-1
236,336,-1
237,340,-1
238,358,-1
239,360,-1
240,370,-1
241,372,-1
242,373,-1
243,385,-1
244,387,110
245,391,106
246,393,-1
247,397,280
248,399,224
249,401,264
250,402,28
251,403,-1
252,404,48
253,405,-1
254,407,6
255,409,72
256,411,-1
257,413,88
258,415,14
259,419,0
260,425,136
261,427,-1
262,429,172
263,431,22
264,432,190
265,433,144
266,435,188
267,437,128
268,439,132
269,441,152
270,443,160
271,445,-1
272,447,-1
273,449,-1
274,451,-1
275,455,84
276,457,-1
277,461,-1
278,463,-1
279,465,-1
280,467,-1
281,469,-1
282,471,-1
283,473,-1
284,475,-1
285,477,-1
286,479,-1
287,481,-1
288,483,-1
289,485,16
290,487,24
291,489,-1
292,493,-1
293,495,98
294,503,0
295,505,-1
296,534,-1
297,536,-1
298,538,-1
299,541,280
300,545,0
301,549,290
302,553,18
303,556,104
304,557,36
305,558,0
306,560,28
307,562,8
308,564,-1
309,566,84
310,568,40
311,570,18
312,600,132
313,604,194
314,625,112
315,629,-1
316,632,-1
317,640,-1
318,644,-1
319,672,44
320,676,84
321,681,28
322,685,34
323,692,-1
324,696,-1
325,704,-1
326,708,168
327,712,56
328,716,234
329,728,156
330,732,266
331,736,218
332,740,224
333,748,258
334,756,70
335,760,60
336,764,128
337,769,26
338,773,10
339,777,172
340,781,104
341,797,-1
342,801,-1
343,805,-1
344,809,304
345,813,154
346,825,60
347,826,66
348,848,-1
349,849,156
350,852,-1
351,856,-1
352,857,84
353,860,-1
354,861,280
355,865,-1
356,873,-1
357,908,128
358,912,-1
359,916,-1
360,920,-1
361,924,-1
362,944,-1
363,948,-1
