path_id,min_slice
0,212
1,176
2,4
4,142
5,214
6,76
7,204
8,120
9,-1
10,138
11,250
12,14
13,84
14,44
15,148
16,-1
17,72
18,26
19,-1
20,44
21,-1
22,38
23,-1
24,230
25,192
26,76
28,160
29,196
30,60
31,224
32,188
33,-1
34,74
35,0
36,0
37,8
38,58
39,90
40,40
41,52
42,74
43,50
44,6
45,-1
46,4
47,-1
49,-1
50,12
51,214
52,98
53,236
54,176
55,28
56,0
57,238
58,0
59,0
60,206
61,-1
62,156
63,182
64,0
65,46
66,4
67,24
68,148
69,94
70,16
71,-1
72,8
73,260
74,0
75,4
76,0
77,-1
78,4
80,252
81,238
82,112
84,112
85,84
86,198
87,304
88,168
89,98
90,84
91,4
92,76
93,-1
94,0
95,40
96,32
97,62
98,8
99,-1
100,-1
101,-1
102,14
103,-1
104,16
105,20
106,48
107,-1
108,106
109,-1
110,274
111,256
112,12
113,138
114,132
115,-1
116,6
117,202
118,8
119,168
120,16
121,86
122,-1
123,104
124,20
125,214
126,14
127,38
128,36
129,-1
130,-1
131,158
132,32
133,-1
136,86
137,290
138,50
139,-1
140,0
141,300
142,128
143,-1
144,176
145,280
146,126
148,156
149,102
150,-1
151,94
152,32
153,260
154,108
155,110
156,-1
158,174
159,4
160,52
161,36
162,298
163,130
164,64
165,64
168,44
169,-1
170,66
171,26
172,10
173,-1
174,150
176,188
177,-1
178,56
180,24
181,-1
182,94
183,-1
184,12
185,104
186,4
187,124
188,-1
190,28
191,266
192,72
193,44
194,-1
195,192
196,-1
197,-1
200,122
201,302
202,58
203,-1
204,8
206,-1
207,-1
208,20
210,58
211,-1
212,-1
213,208
214,38
215,276
216,126
217,138
218,66
220,126
221,134
222,24
223,152
224,4
225,8
226,32
227,-1
229,-1
232,0
233,-1
234,72
235,-1
236,172
237,-1
238,-1
240,140
241,-1
242,-1
243,-1
244,24
245,232
246,204
247,138
248,150
250,20
251,-1
252,150
253,172
254,90
256,188
257,12
258,-1
259,-1
260,20
264,138
265,-1
266,22
267,72
268,200
270,-1
272,158
273,-1
274,80
275,112
276,106
277,-1
278,220
279,122
280,22
281,56
282,12
284,170
286,266
287,46
288,-1
289,110
290,74
294,152
295,268
296,92
297,-1
298,12
300,32
302,172
304,-1
306,118
308,16
309,86
310,-1
312,0
314,184
316,290
317,226
318,0
320,-1
324,166
325,-1
326,116
327,-1
328,-1
329,-1
330,40
332,192
333,98
334,-1
336,214
337,312
338,44
340,-1
342,64
345,32
347,16
348,172
356,180
357,-1
358,138
360,200
362,36
363,-1
364,102
366,-1
368,50
370,34
372,0
374,4
376,-1
377,280
378,0
379,-1
380,-1
382,-1
386,54
387,-1
388,160
389,-1
390,16
391,12
392,216
393,-1
394,66
395,58
396,130
397,98
399,-1
401,158
403,200
405,220
407,-1
408,100
409,124
410,120
411,-1
413,-1
416,20
418,30
420,46
422,-1
424,284
425,128
427,180
429,8
431,240
433,12
435,-1
436,118
437,22
438,54
439,-1
441,116
444,26
445,270
446,42
447,-1
448,174
449,-1
450,236
451,102
453,66
454,-1
455,-1
457,-1
459,26
461,260
463,282
465,-1
466,132
467,142
468,196
469,-1
471,-1
474,4
475,-1
476,0
477,-1
478,16
479,-1
480,0
481,-1
483,52
484,52
485,16
487,-1
489,102
491,202
495,238
496,8
497,100
498,64
499,-1
500,22
503,-1
506,32
507,-1
508,4
509,-1
510,260
511,-1
514,-1
526,22
527,162
528,12
529,302
536,202
537,-1
538,8
540,68
541,-1
544,-1
545,252
549,4
553,74
554,150
555,180
556,74
557,72
562,64
563,-1
564,64
566,34
577,88
578,174
579,112
584,218
588,92
593,282
596,8
597,280
600,210
604,242
605,-1
608,108
609,-1
617,-1
620,248
624,38
628,56
632,242
640,-1
642,302
644,0
646,266
648,12
652,32
654,-1
656,18
666,-1
668,38
670,284
672,16
673,-1
674,0
676,-1
678,-1
680,36
681,310
684,8
688,-1
689,20
690,-1
692,8
696,84
700,-1
702,0
704,92
714,-1
716,4
720,100
722,42
724,-1
726,4
728,116
732,30
738,84
740,76
744,116
748,52
750,-1
752,0
762,18
764,110
769,-1
770,4
773,-1
774,-1
776,138
777,254
781,52
785,0
789,-1
793,-1
797,-1
800,-1
801,-1
802,50
805,220
809,-1
813,106
817,-1
821,-1
825,-1
826,22
828,160
829,196
833,-1
837,36
841,266
845,280
848,138
849,-1
852,30
853,-1
854,176
856,-1
857,-1
860,0
861,-1
865,6
869,-1
873,-1
877,-1
878,-1
881,-1
885,282
889,18
893,-1
896,54
900,154
904,-1
906,4
908,18
912,56
916,26
920,148
924,-1
928,126
929,-1
930,-1
932,194
933,-1
936,24
937,114
940,78
941,122
944,-1
946,4
948,14
952,168
956,18
960,-1
964,30
968,72
972,-1
976,-1
978,20
980,146
982,112
984,8
988,302
992,146
996,-1
998,36
1000,148
1004,32
1008,-1
1012,38
1016,80
1020,166
1024,-1
1028,190
1030,166
1032,38
1036,-1
1038,8
1044,180
1046,-1
1048,-1
1052,204
1054,182
1062,76
1067,0
1068,198
1072,42
1076,220
1078,206
1086,28
1087,292
1092,66
1094,122
1100,122
1102,144
1105,20
1106,0
1107,-1
1108,36
1109,12
1111,32
1112,8
1113,0
1114,-1
1116,290
1118,160
1119,-1
1124,98
1126,26
1130,32
1132,76
1134,-1
1140,46
1142,96
1148,-1
1150,8
1153,-1
1159,-1
1164,152
1165,0
1166,-1
1167,-1
1169,-1
1175,166
1177,26
1182,60
1183,46
1185,78
1187,198
1188,-1
1190,-1
1191,182
1192,-1
1193,-1
1194,12
1196,240
1198,-1
1199,-1
1201,-1
1204,122
1207,-1
1209,18
1215,12
1217,-1
1218,48
1223,-1
1224,216
1225,-1
1232,170
1233,4
1234,20
1239,34
1240,200
1241,216
1245,-1
1246,222
1247,64
1249,244
