path_id,min_slice
0,-1
1,-1
2,262
3,-1
4,90
5,-1
6,300
7,-1
8,178
9,-1
10,22
11,-1
12,16
13,172
14,-1
15,-1
16,-1
17,40
18,16
19,232
20,22
21,70
22,8
23,-1
24,170
25,-1
26,0
27,-1
28,-1
29,90
30,-1
31,214
32,-1
33,284
34,140
35,28
36,-1
37,4
38,306
39,-1
40,152
41,12
42,32
43,34
45,4
46,102
49,48
51,262
53,-1
54,-1
56,-1
57,140
58,-1
59,36
60,64
61,88
62,278
63,146
64,28
65,154
66,16
67,62
68,4
69,-1
70,-1
71,118
72,218
73,-1
74,182
76,202
78,-1
79,304
80,-1
81,194
82,-1
83,246
84,-1
85,-1
86,-1
87,204
88,36
89,-1
90,-1
91,-1
92,272
93,-1
94,114
95,12
96,-1
97,204
98,-1
100,282
101,292
102,-1
103,-1
104,-1
106,-1
107,-1
108,-1
110,132
112,-1
114,-1
116,302
118,292
120,-1
123,40
128,-1
130,118
132,228
137,12
139,-1
142,-1
144,-1
148,-1
152,-1
154,56
160,62
164,142
172,110
174,68
176,74
178,8
181,-1
188,152
210,4
214,142
216,90
220,8
224,232
226,100
236,-1
238,-1
240,214
244,-1
260,170
262,186
266,80
268,208
270,98
272,-1
274,40
276,48
278,64
280,12
282,294
284,-1
286,-1
288,72
290,16
292,-1
296,0
298,246
304,-1
306,22
314,40
316,28
326,-1
336,-1
338,80
340,-1
342,122
352,48
354,-1
356,110
358,262
360,-1
366,278
370,34
385,56
387,232
389,-1
391,-1
393,284
395,-1
397,156
399,78
401,258
403,196
405,-1
407,20
409,164
411,-1
413,180
415,58
419,66
422,248
424,90
425,-1
426,100
427,-1
428,118
430,48
431,248
432,0
433,-1
434,266
435,-1
436,162
437,128
438,300
439,-1
440,130
441,-1
443,-1
445,0
447,-1
449,196
451,12
452,-1
454,158
456,142
457,-1
458,-1
460,-1
461,-1
462,214
463,-1
465,82
467,-1
469,122
470,136
471,-1
473,214
474,156
475,-1
477,12
479,38
481,62
483,22
485,4
487,0
489,42
490,-1
492,246
493,36
494,-1
495,72
496,88
498,-1
500,260
502,-1
504,110
506,-1
507,190
508,304
511,16
512,58
514,88
516,0
519,22
520,8
521,-1
522,48
523,-1
524,58
525,-1
526,250
527,-1
528,140
530,40
532,80
534,206
536,26
537,296
538,88
539,-1
540,18
541,-1
542,180
543,-1
544,204
545,-1
546,226
547,304
548,248
549,-1
550,162
551,134
552,12
553,-1
554,268
555,-1
556,0
557,-1
558,36
559,-1
596,156
597,-1
598,68
599,68
600,26
601,-1
602,214
603,118
604,234
605,124
606,80
607,-1
608,50
609,44
610,102
611,-1
612,158
613,120
614,-1
615,94
616,4
617,32
618,268
619,168
620,-1
621,0
622,178
623,292
624,-1
625,-1
626,-1
627,-1
628,-1
629,-1
630,302
631,188
632,198
633,-1
635,50
636,-1
637,-1
638,40
640,-1
642,-1
644,24
645,12
646,6
647,0
648,0
650,42
652,66
654,14
687,-1
688,-1
692,-1
694,-1
696,10
700,72
703,314
704,-1
705,14
707,-1
708,56
710,90
712,70
713,0
716,4
720,18
728,-1
732,-1
738,-1
740,32
743,-1
744,16
746,-1
748,24
751,228
752,68
754,0
756,288
759,4
761,-1
762,12
764,42
766,166
768,174
770,52
774,146
776,156
781,274
793,-1
801,-1
802,0
804,48
805,-1
806,58
808,268
809,250
810,290
812,-1
813,18
814,40
816,102
817,-1
818,4
820,-1
821,-1
822,-1
824,8
825,142
848,-1
852,80
856,-1
860,140
861,24
862,102
863,86
864,208
865,142
866,118
867,162
868,36
869,182
870,80
871,202
872,232
873,224
874,56
875,32
876,68
877,72
879,12
880,252
881,18
882,276
883,244
896,54
897,22
898,8
899,120
900,18
901,44
902,38
903,184
904,28
905,54
906,0
907,28
908,56
909,132
910,0
911,36
912,76
913,4
914,8
915,8
916,22
917,162
918,38
919,144
924,-1
928,-1
936,180
940,8
944,40
945,150
947,62
948,0
949,122
950,16
952,8
953,30
954,136
956,36
959,172
960,72
962,196
964,0
968,20
972,28
974,4
976,96
978,8
980,50
982,22
984,128
986,0
988,-1
990,54
992,100
994,120
996,60
1000,20
1004,130
1005,0
1006,-1
1007,20
1008,-1
1010,-1
1011,4
1012,-1
1015,12
1020,118
1024,-1
1028,288
1030,-1
1056,52
1057,48
1058,16
1059,18
1060,0
1061,12
1062,34
1063,26
1064,74
1065,60
1066,102
1067,96
1070,194
1074,162
1086,162
1104,0
1105,0
1106,12
1107,14
1108,28
1109,26
1110,38
1111,40
1112,50
1113,44
1114,60
1115,50
1116,0
1117,0
1118,22
1119,6
1120,44
1121,28
1122,52
1123,36
1124,58
1125,54
1126,80
1127,76
1128,98
1129,90
1130,110
1131,106
1132,132
1133,124
1134,152
1135,144
1136,162
1137,148
1138,186
1139,162
1140,184
1141,192
1142,190
1143,208
1144,194
1145,232
1146,198
1147,244
1148,208
1149,266
1150,218
1151,284
1152,236
1153,302
1154,250
1155,-1
1156,262
1157,-1
1158,272
1159,-1
1160,284
1161,-1
1162,294
1163,312
1190,150
1201,-1
1207,-1
1216,228
1223,-1
1224,-1
1240,96
