path_id,min_slice
956,0
896,6
860,30
960,48
964,72
976,84
980,98
984,104
688,122
740,146
948,152
650,164
666,172
710,196
782,214
2,0
12,18
24,32
36,52
48,74
60,86
72,102
84,110
96,134
108,148
120,166
314,186
132,206
144,230
266,238
156,246
278,264
168,282
290,296
180,304
302,308
192,-1
204,-1
1026,0
1030,4
1012,12
1016,30
992,54
1000,58
1004,72
312,0
276,20
264,30
300,48
288,62
324,70
348,84
336,102
372,116
360,130
384,144
394,150
402,156
410,162
418,182
426,206
1008,0
1020,20
996,32
988,44
1028,50
1002,68
1014,82
732,0
856,14
700,34
644,56
604,76
672,100
676,112
684,122
764,130
716,138
660,150
574,162
584,184
904,0
932,14
920,38
648,44
596,62
944,212
900,234
908,242
848,262
936,272
940,296
0,0
10,8
22,28
728,0
34,36
46,52
58,62
70,74
82,92
94,96
106,108
118,130
130,148
262,172
142,184
274,200
154,224
166,228
298,240
178,264
310,276
190,286
382,298
322,-1
202,312
334,-1
214,-1
226,-1
286,-1
358,-1
238,-1
370,-1
250,-1
696,12
640,16
592,20
680,30
346,-1
656,40
416,-1
448,46
466,56
470,-1
474,76
482,82
490,88
498,98
506,102
514,110
522,126
532,134
540,140
550,162
560,166
572,180
582,186
602,200
612,212
622,230
8,0
20,22
32,46
44,54
56,70
68,80
80,84
92,94
104,104
18,0
30,16
42,36
54,42
66,66
78,76
90,100
102,106
114,114
126,138
258,150
138,162
150,170
284,182
272,194
162,204
174,208
308,230
296,238
186,260
198,278
332,296
320,304
210,-1
14,0
26,16
38,34
50,44
62,54
74,76
86,84
98,88
110,96
122,114
134,122
268,132
146,144
158,156
292,168
170,186
182,200
316,222
304,230
194,240
376,248
206,262
340,270
328,294
364,-1
708,208
801,66
813,74
785,86
937,106
485,300
457,304
469,308
477,-1
493,-1
501,-1
509,-1
395,110
403,124
411,144
419,158
385,172
15,-1
27,-1
39,-1
51,-1
63,-1
75,-1
87,-1
99,-1
111,-1
123,-1
19,-1
21,-1
31,-1
33,-1
43,-1
45,-1
55,-1
57,-1
67,-1
69,-1
79,-1
81,-1
91,-1
93,-1
103,-1
105,-1
115,-1
117,-1
127,-1
129,-1
141,-1
153,-1
165,-1
409,244
23,262
433,266
59,274
461,282
479,290
95,-1
495,-1
511,-1
131,-1
167,-1
203,-1
557,-1
545,-1
239,-1
275,-1
311,-1
805,-1
789,-1
829,-1
1,296
401,230
11,-1
425,-1
35,238
47,-1
445,-1
71,-1
83,-1
107,316
119,-1
177,-1
201,-1
225,-1
249,-1
483,-1
491,-1
499,-1
809,-1
